Floor,Room_No.,Room_Name,Room_Type_No.,Room_Type_Name,Area_m2,Volume_m3,Specific_Cooling_Demand_per_m2_W_per_m2,Specific_Cooling_Demand_per_Person_W_per_Pers,Additional_Internal_Loads_W,Total_Cooling_Load_kW,Cooling_Type,Cooling_Capacity_W,Cooling_Count,Total_Cooling_kW,Specific_Heating_Demand_per_m2_W_per_m2,Total_Heating_Load_kW,Heating_Type,Heating_Capacity_W,Heating_Count,Total_Heating_kW
OG1_OKRFB,D1 25,Installationsschacht,18.0,Schächte,8000.0,23250.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG1_OKRFB,D1 26,Etagenverteiler,13.0,Etagenverteiler,8000.0,23250.0,0.0,0.0,3.5,0.0,"3,500",1.0,350.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG1_OKRFB,D1 27,Flur,6.0,"Verkehrsflächen, Flure",67000.0,202360.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG1_OKRFB,Mo 1 06.1,WC Herren,8.0,WCs,3000.0,9580.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,9.0,HK,150.0,1.0,15.0
OG1_OKRFB,Mo1 01,Flur,17.0,Treppenhäuser/Magistrale,57000.0,170660.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.0,143.0,HK,1.43,1.0,143.0
OG1_OKRFB,Mo1 02,Lager,11.0,Lager innenliegend,9000.0,28450.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG1_OKRFB,Mo1 03,Aufzug,19.0,Aufzüge,9000.0,26100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG1_OKRFB,Mo1 04,WC Damen,8.0,WCs,3000.0,10050.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,9.0,HK,90.0,1.0,9.0
OG1_OKRFB,Mo1 05,Putzraum,10.0,Putzmittel/ Lager,2000.0,4750.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,3.0,,0.0,0.0,0.0
OG1_OKRFB,Mo1 06,WC Herren,8.0,WCs,2000.0,5300.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,6.0,HK,0.0,0.0,0.0
OG1_OKRFB,Mw1 01/02,Treppe/Flur,17.0,Treppenhäuser/Magistrale,41000.0,122920.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.0,103.0,HK,1.03,1.0,103.0
OG1_OKRFB,Mw1 03,Installationsschacht,18.0,Schächte,3000.0,9280.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG1_OKRFB,Mw1 04,ELT,14.0,ELT-Schacht,3000.0,8750.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG2_OKRFB,D2 02,Seminar,20.0,Serminarraum,102000.0,305140.0,50.0,0.0,0.0,0.0,"5,100",1.0,510.0,0.0,40.0,408.0,H-K-Segel,4.08,1.0,408.0
OG2_OKRFB,D2 06,Flexwork,1.0,Flex-/ Co-Work/,126000.0,378750.0,50.0,0.0,0.0,0.0,"6,300",1.0,630.0,0.0,40.0,504.0,H-K-Segel,5.04,1.0,504.0
OG2_OKRFB,D2 07,Flur,6.0,"Verkehrsflächen, Flure",67000.0,202310.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG2_OKRFB,D2 14,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,24510.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
